,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
149,улица,Винница,62.0,45.0,6.0,3.0,3,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,5,852417
150,улица,Винница,76.0,50.0,14.0,2.0,7,кирпич,True,2017,индивидуальное,от собственника,централизованное (водопровод),отличное,9,1450382
151,улица,Винница,82.0,32.0,16.0,3.0,11,кирпич,True,2018,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,11,1005089
152,улица,Киев,115.0,57.8,17.2,3.0,16,кирпич,True,2001,централизованное,от посредника,централизованное (водопровод),хорошее,19,2798982
153,other,Тернополь,43.0,43.0,11.0,2.0,1,кирпич,False,2016,индивидуальное,от собственника,other,other,1,839695
154,улица,Винница,65.0,40.0,9.0,3.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,9,1234097
155,улица,Киев,110.0,32.0,9.0,4.0,13,кирпич,True,1990,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,16,2926208
156,улица,Винница,68.0,46.0,11.0,3.0,8,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),нормальное,9,1399491
157,улица,Винница,86.0,32.0,10.0,4.0,4,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,916030
158,улица,Тернополь,57.7,32.0,9.0,1.0,1,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,5,699745
159,проспект,Винница,83.2,19.0,12.7,2.0,10,кирпич,True,2014.0,индивидуальное,от представителя застройщика,централизованное (водопровод),хорошее,11,1580800
160,улица,Одесса,48.0,28.0,12.0,1.0,24,монолит,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,24,1297710
161,улица,Винница,115.0,80.0,16.0,3.0,2,кирпич,True,2016,индивидуальное,от собственника,централизованное (водопровод),отличное,9,1908397
162,улица,Винница,38.0,19.6,7.8,1.0,9,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,674300
163,улица,Винница,70.0,36.0,18.0,2.0,8,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,9,1882951
164,улица,Хмельницкий,65.1,29.45,17.26,2.0,7,кирпич,True,2019,без отопления,от застройщика,централизованное (водопровод),отличное,10,624960
165,улица,Винница,85.0,45.0,15.0,3.0,6,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,9,2035598
166,улица,Тернополь,68.0,38.0,20.0,2.0,8,монолит,True,2017,индивидуальное,от собственника,централизованное (водопровод),отличное,11,1215700
167,other,Тернополь,85.0,32.0,9.0,3.0,4,кирпич,False,2014.0,индивидуальное,от посредника,other,other,10,1272265
168,улица,Тернополь,70.0,32.0,9.0,2.0,7,кирпич,True,2018,индивидуальное,от собственника,централизованное (водопровод),отличное,10,1577608
169,other,Одесса,53.99,28.42,9.18,2.0,4,монолитно-каркасный,True,2020,централизованное,от застройщика,централизованное (водопровод),отличное,7,684478
170,улица,Винница,43.0,23.0,11.0,1.0,8,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,10,928753
171,улица,Тернополь,80.3,32.0,12.0,3.0,6,кирпич,True,2014.0,индивидуальное,от посредника,other,отличное,9,1399491
172,улица,Одесса,42.2,18.6,8.2,2.0,1,панель,True,2014.0,индивидуальное,от собственника,централизованное (водопровод),other,1,1094147
173,улица,Винница,30.0,15.0,9.0,1.0,5,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,595420
174,бульвар,Одесса,40.0,11.0,28.0,1.0,9,монолитный железобетон,True,2018,индивидуальное,от собственника,централизованное (водопровод),отличное,14,2162850
175,шоссе,Харьков,82.4,49.5,8.7,3.0,2,кирпич,True,2012,централизованное,от собственника,централизованное (водопровод),отличное,9,1475827
176,улица,Винница,65.0,40.0,9.0,3.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,9,1234097
177,улица,Тернополь,38.0,32.0,9.0,1.0,1,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,458015
178,улица,Львов,41.0,17.0,18.0,1.0,8,кирпич,True,2018,централизованное,от посредника,other,отличное,10,1206107
179,улица,Львов,36.6,19.6,6.8,1.0,3,кирпич,True,1980,централизованное,от собственника,централизованное (водопровод),нормальное,9,888041
180,переулок,Харьков,21.6,19.0,5.0,1.0,1,кирпич,True,2012,other,other,other,отличное,3,427481
181,шоссе,Харьков,165.0,46.0,9.0,6.0,9,кирпич,True,2016,централизованное,от собственника,централизованное (водопровод),отличное,10,2442748
182,улица,Киев,36.9,15.3,5.8,1.0,12,газоблок,True,2016,централизованное,от собственника,централизованное (водопровод),отличное,24,1666666
183,улица,Винница,85.4,46.1,14.6,3.0,3,кирпич,True,2015,индивидуальное,от посредника,централизованное (водопровод),отличное,5,1653944
184,улица,Киев,38.0,16.0,12.0,1.0,2,кирпич,True,2018,централизованное,от собственника,централизованное (водопровод),хорошее,25,1043257
185,улица,Хмельницкий,45.0,22.0,11.0,1.0,5,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,10,483461
186,улица,Киев,72.0,40.5,10.0,3.0,10,кирпич,True,1990,централизованное,от собственника,централизованное (водопровод),нормальное,10,1475827
187,дорога,Одесса,51.0,32.0,9.0,1.0,9,монолитно-каркасный,True,2014.0,индивидуальное,от представителя застройщика,централизованное (водопровод),требует,17,947837
188,улица,Ивано-Франковск,62.3,33.5,16.6,2.0,7,кирпич,True,2014.0,other,other,other,отличное,9,1145038
189,улица,Одесса,28.0,17.0,7.0,1.0,2,газоблок,True,2014.0,индивидуальное,от собственника,централизованное (водопровод),хорошее,2,597964
